电影名称,类型,评分,票房(亿),年份,导演,时长(分钟)
流浪地球2,科幻,8.3,40.3,2023,郭帆,173
满江红,悬疑,7.0,45.4,2023,张艺谋,159
哪吒之魔童降世,动画,8.4,50.3,2019,饺子,110
你好李焕英,喜剧,7.8,54.1,2021,贾玲,128
唐人街探案3,喜剧,5.3,45.2,2021,陈思诚,136
速度与激情10,动作,6.2,13.9,2023,路易斯,141
阿凡达2,科幻,7.8,16.9,2022,卡梅隆,192
长津湖,战争,7.2,57.8,2021,陈凯歌,176
我不是药神,剧情,9.0,31.0,2018,文牧野,117
复仇者联盟4,动作,8.5,42.5,2019,罗素兄弟,181
捉妖记,奇幻,6.7,24.4,2015,许诚毅,118
疯狂动物城,动画,9.2,15.3,2016,拜伦,108
千与千寻,动画,9.4,0.5,2001,宫崎骏,125
寻梦环游记,动画,9.1,12.1,2017,李,105
狮子王,动画,7.4,8.3,2019,乔恩,118
头脑特工队,动画,8.7,9.8,2015,彼特,95
姜子牙,动画,6.6,16.0,2020,程腾,110
深海,动画,7.3,9.2,2023,田晓鹏,112
熊出没伴我熊芯,动画,6.9,14.9,2023,林汇达,101
长安三万里,动画,8.3,18.2,2023,谢君伟,168
长安三万里,动画,8.3,18.2,2023,谢君伟,168
